City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Paraul,42.7419,47.3553,52.34,84,100,9.08,RU,1682945486
1,Cape Town,-33.9258,18.4232,69.12,52,0,10.36,ZA,1682945402
2,Butaritari,3.0707,172.7902,82.65,80,15,15.93,KI,1682945487
3,Yellowknife,62.456,-114.3525,43.32,56,100,12.66,CA,1682945487
4,Fairbanks,64.8378,-147.7164,35.6,69,40,3.44,US,1682945466
5,Elko,41.0002,-115.5012,52.65,33,89,7.0,US,1682945487
6,Mataura,-46.1927,168.8643,46.47,97,100,2.89,NZ,1682945488
7,Humaitá,-7.5061,-63.0208,76.75,94,100,2.19,BR,1682945488
8,Mahébourg,-20.4081,57.7,78.26,94,75,3.44,MU,1682945488
9,Fortuna,40.5982,-124.1573,50.67,89,100,5.99,US,1682945488
10,Ushuaia,-54.8,-68.3,33.46,86,75,10.36,AR,1682945489
11,Nanortalik,60.1432,-45.2371,33.94,56,13,1.63,GL,1682945489
12,Geraldton,-28.7667,114.6,66.61,72,0,11.5,AU,1682945489
13,Surgut,61.25,73.4167,35.78,64,0,13.42,RU,1682945230
14,Proletariy,58.4342,31.7046,50.36,39,100,10.42,RU,1682945489
15,Puerto Ayora,-0.7393,-90.3518,74.55,100,7,1.01,EC,1682945490
16,Vaini,-21.2,-175.2,75.36,88,40,16.11,TO,1682945490
17,George Town,5.4112,100.3354,87.73,89,40,8.05,MY,1682945490
18,Valea Ursului,46.8167,27.0833,63.12,41,4,11.16,RO,1682945490
19,Qaqortoq,60.7167,-46.0333,34.38,50,13,6.51,GL,1682945491
22,Khatanga,71.9667,102.5,6.37,87,51,6.17,RU,1682945491
23,Kapaa,22.0752,-159.319,73.09,85,6,4.0,US,1682945491
24,Klaksvík,62.2266,-6.589,41.92,78,99,23.91,FO,1682945492
25,Ahipara,-35.1667,173.1667,62.82,94,4,7.11,NZ,1682945492
26,Albany,42.6001,-73.9662,45.37,89,100,1.01,US,1682945492
27,Ulladulla,-35.35,150.4667,51.62,85,6,7.2,AU,1682945492
28,New Norfolk,-42.7826,147.0587,51.3,79,100,3.09,AU,1682945493
29,Norman Wells,65.282,-126.8329,30.24,93,75,9.22,CA,1682945493
30,Eidfjord,60.4675,7.0719,43.41,90,100,6.62,NO,1682945493
31,Rikitea,-23.1203,-134.9692,78.39,79,10,1.14,PF,1682945493
32,Punta Arenas,-53.15,-70.9167,33.91,80,20,11.5,CL,1682945493
33,Cherskiy,68.75,161.3,5.13,100,73,0.89,RU,1682945494
35,Neryungri,56.6709,124.6491,32.47,100,100,1.05,RU,1682945494
36,Pimenta Bueno,-11.6725,-61.1936,79.59,83,5,2.55,BR,1682945352
37,Kavieng,-2.5744,150.7967,81.93,81,100,11.41,PG,1682945495
38,Sitka,57.0531,-135.33,42.69,87,100,6.91,US,1682945469
39,Avarua,-21.2078,-159.775,75.25,69,75,8.05,CK,1682945495
41,Bluff,-46.6,168.3333,46.8,87,100,2.66,NZ,1682945495
42,Mar del Plata,-38.0023,-57.5575,59.09,71,20,10.36,AR,1682945496
44,Aklavik,68.2191,-135.0107,24.12,95,100,11.5,CA,1682945496
45,Saint Paul Harbor,57.79,-152.4072,36.91,70,20,4.61,US,1682945496
46,Kaitangata,-46.2817,169.8464,50.27,97,100,5.64,NZ,1682945496
47,Abu Kamal,34.4506,40.9171,76.19,22,6,11.34,SY,1682945497
49,Tual,-5.6667,132.75,82.24,82,100,15.3,ID,1682945497
50,Busselton,-33.65,115.3333,55.74,77,0,12.82,AU,1682945497
51,Agirish,61.9247,63.0231,48.47,39,100,7.61,RU,1682945498
52,Qaanaaq,77.484,-69.3632,30.09,73,100,6.08,GL,1682945498
53,Hilo,19.7297,-155.09,69.62,86,100,6.91,US,1682945498
54,Richards Bay,-28.783,32.0377,82.51,52,1,14.2,ZA,1682945285
55,Botwood,49.1499,-55.3482,40.68,62,7,10.54,CA,1682945498
56,Pisco,-13.7,-76.2167,69.03,88,29,5.75,PE,1682945499
57,College,64.8569,-147.8028,35.58,69,40,3.44,US,1682945499
58,Tasiilaq,65.6145,-37.6368,33.96,59,4,2.95,GL,1682945499
59,Ponta do Sol,32.6667,-17.1,81.72,40,47,7.67,PT,1682945499
60,Arraial do Cabo,-22.9661,-42.0278,78.66,73,0,8.05,BR,1682945500
61,Port Elizabeth,-33.918,25.5701,78.1,68,0,17.0,ZA,1682945500
62,Esmeraldas,-19.7625,-44.3139,70.84,68,0,1.48,BR,1682945500
63,Bay City,43.5945,-83.8889,43.12,86,100,9.22,US,1682945343
64,Egvekinot,66.3167,-179.1667,3.22,88,100,11.63,RU,1682945500
65,Atuona,-9.8,-139.0333,81.5,74,12,22.93,PF,1682945501
66,Port Alfred,-33.5906,26.891,75.18,60,7,3.0,ZA,1682945501
67,Nikolskoye,59.7035,30.7861,49.91,36,16,12.44,RU,1682945501
